CountryCode,CountryName,CoverageType,RequestYear,DataYear,DataType,PovertyLine,HeadCount,PovGap,PovGapSqr,ReqYearPopulation,PovertyLine.extreme,HeadCount.extreme,PovGap.extreme,PovGapSqr.extreme
BLZ,Belize,N,1990,1993,Y,3.915451,0.6220864,0.3017838,0.1857474,0.187552,1.9,0.2923468,0.1168785,0.06902909
BLZ,Belize,N,1993,1993,Y,3.915451,0.3230127,0.1341698,0.07891819,0.197616,1.9,0.1009339,0.05015287,0.03258234
BLZ,Belize,N,1996,1996,Y,3.915451,0.4171865,0.1673879,0.09563746,0.213676,1.9,0.1326206,0.05572298,0.03574537
BLZ,Belize,N,1999,1999,Y,3.915451,0.3695931,0.1557931,0.09398729,0.239026,1.9,0.1391808,0.06088852,0.03810029
BLZ,Belize,N,2002,1999,Y,3.915451,0.2945839,0.1279142,0.07815082,0.262206,1.9,0.1167539,0.05067916,0.03221696
BLZ,Belize,N,2005,1999,Y,3.915451,0.3231745,0.1391416,0.08478993,0.283277,1.9,0.1253434,0.05502909,0.03469315
BLZ,Belize,N,2008,1999,Y,3.915451,0.3695931,0.1578393,0.09518429,0.306165,1.9,0.1391808,0.06163785,0.03854158
BLZ,Belize,N,2010,1999,Y,3.915451,0.360375,0.1479509,0.08957984,0.321608,1.9,0.1366115,0.05801565,0.03647484
BLZ,Belize,N,2011,1999,Y,3.915451,0.3574299,0.1428013,0.08681246,0.329192,1.9,0.1259174,0.05631526,0.03544941
BLZ,Belize,N,2012,1999,Y,3.915451,0.3579082,0.1437088,0.0872885,0.336701,1.9,0.1259174,0.05660939,0.03562663
BLZ,Belize,N,2013,1999,Y,3.915451,0.3231745,0.1394627,0.08498001,0.344181,1.9,0.1253434,0.05515179,0.03476428
BLZ,Belize,N,2015,1999,Y,3.915451,0.3199765,0.1368232,0.08342721,0.359288,1.9,0.1229517,0.05415469,0.0341834
BOL,Bolivia,N,1981,1990.5,Y,3.041809,0.1895996,0.0491908,0.01713503,5.711599,1.9,0.0507525,0.006385601,0.001146228
BOL,Bolivia,N,1984,1990.5,Y,3.041809,0.2449753,0.06993644,0.0264562,6.085496,1.9,0.08856606,0.0152628,0.00363805
BOL,Bolivia,N,1987,1990.5,Y,3.041809,0.2215713,0.06022841,0.02172566,6.464732,1.9,0.07334039,0.01135955,0.002456299
BOL,Bolivia,N,1990,1990.5,Y,3.041809,0.2211893,0.06007307,0.02165154,6.856244,1.9,0.07309452,0.01129992,0.002439184
BOL,Bolivia,N,1993,,Y,3.041809,0.2539318,0.09950379,0.05722264,7.273825,1.9,0.1178025,0.04775787,0.03043138
BOL,Bolivia,N,1996,,Y,3.041809,0.3043008,0.1474592,0.09783147,7.717443,1.9,0.1790399,0.09083192,0.06158869
BOL,Bolivia,N,1999,1999,Y,3.041809,0.361712,0.2129464,0.1578477,8.182712,1.9,0.2529849,0.1534123,0.1141022
BOL,Bolivia,N,2002,2002,Y,3.041809,0.3671522,0.1994264,0.140492,8.653345,1.9,0.2474276,0.1339649,0.0946882
BOL,Bolivia,N,2005,2005,Y,3.041809,0.3046456,0.15605,0.1048757,9.125409,1.9,0.1932389,0.09948434,0.06582941
BOL,Bolivia,N,2008,2008,Y,3.041809,0.1906334,0.08764105,0.05482412,9.599855,1.9,0.1105113,0.050385,0.03093006
BOL,Bolivia,N,2010,,Y,3.041809,0.1550832,0.07033499,0.04375251,9.918242,1.9,0.08896518,0.04058257,0.02409646
BOL,Bolivia,N,2011,2011,Y,3.041809,0.130767,0.05669394,0.03402366,10.078343,1.9,0.07289315,0.03059092,0.01775575
BOL,Bolivia,N,2012,2012,Y,3.041809,0.1375884,0.06519117,0.04218729,10.239004,1.9,0.08197635,0.03959495,0.02493705
BOL,Bolivia,N,2013,2013,Y,3.041809,0.1153545,0.05390804,0.03373214,10.400264,1.9,0.06857665,0.03119318,0.01870243
BOL,Bolivia,N,2015,2015,Y,3.041809,0.1081507,0.04966757,0.03099708,10.724705,1.9,0.06353983,0.02810239,0.01734689
BRA,Brazil,N,1981,1981,Y,3.023111,0.3713705,0.1643051,0.09754009,124.030908,1.9,0.2139164,0.08628062,0.05056214
BRA,Brazil,N,1984,1984,Y,3.023111,0.4446179,0.2003653,0.1191592,132.800684,1.9,0.2689446,0.1064769,0.06035704
BRA,Brazil,N,1987,1987,Y,3.023111,0.3116965,0.1372541,0.08181297,141.273488,1.9,0.1776243,0.07249387,0.04307085
BRA,Brazil,N,1990,1990,Y,3.023111,0.3672242,0.1639695,0.09740488,149.352145,1.9,0.2162563,0.08749537,0.04944816
BRA,Brazil,N,1993,1993,Y,3.023111,0.3422769,0.1549828,0.0950028,157.132682,1.9,0.199249,0.08560427,0.05233158
BRA,Brazil,N,1996,1996,Y,3.023111,0.256884,0.1123898,0.06900521,164.913306,1.9,0.1416695,0.0613661,0.03926207
BRA,Brazil,N,1999,1999,Y,3.023111,0.2500537,0.1055938,0.06214836,172.759243,1.9,0.1335906,0.0539359,0.03297333
BRA,Brazil,N,2002,2002,Y,3.023111,0.2087416,0.08216636,0.04553723,180.151021,1.9,0.1031292,0.03874917,0.02136516
BRA,Brazil,N,2005,2005,Y,3.023111,0.180813,0.06912527,0.03764845,186.917361,1.9,0.08638555,0.03158046,0.01720479
BRA,Brazil,N,2008,2008,Y,3.023111,0.1224277,0.04619862,0.02566464,192.979029,1.9,0.05586348,0.02167698,0.01248396
BRA,Brazil,N,2010,,Y,3.023111,0.1022315,0.04041395,0.02306075,196.796269,1.9,0.04977823,0.0200707,0.01158633
BRA,Brazil,N,2011,2011,Y,3.023111,0.09379815,0.0380707,0.02209643,198.686688,1.9,0.04723391,0.0194987,0.01134153
BRA,Brazil,N,2012,2012,Y,3.023111,0.079391,0.03062891,0.01736186,200.560983,1.9,0.0376962,0.01499123,0.008739799
BRA,Brazil,N,2013,2013,Y,3.023111,0.07589996,0.03050992,0.01771158,202.408632,1.9,0.03821842,0.01543293,0.009165264
BRA,Brazil,N,2015,2015,Y,3.023111,0.07307224,0.02657092,0.0141329,205.962108,1.9,0.03374789,0.01167505,0.00607507
BTN,Bhutan,N,1981,2003,X,1.759019,0.7340162,0.3506974,0.2000124,0.42038,1.9,0.772611,0.3807225,0.2237404
BTN,Bhutan,N,1984,2003,X,1.759019,0.688166,0.3092953,0.1684228,0.45372,1.9,0.7222723,0.3387308,0.190706
BTN,Bhutan,N,1987,2003,X,1.759019,0.5390428,0.1977903,0.09233566,0.500437,1.9,0.5830588,0.2247941,0.1093691
BTN,Bhutan,N,1990,2003,X,1.759019,0.4498017,0.1487235,0.06322166,0.53728,1.9,0.4933771,0.1726037,0.07716876
BTN,Bhutan,N,1993,2003,X,1.759019,0.4046578,0.1231747,0.04931022,0.523117,1.9,0.4455773,0.1456633,0.06149435
BTN,Bhutan,N,1996,2003,X,1.759019,0.3013322,0.07763148,0.02723985,0.519282,1.9,0.3490013,0.09595609,0.03575394
BTN,Bhutan,N,1999,2003,X,1.759019,0.2387185,0.05432165,0.01715395,0.557543,1.9,0.2769781,0.06938186,0.02354437
BTN,Bhutan,N,2002,2003,X,1.759019,0.1985278,0.04039096,0.01176858,0.606399,1.9,0.237204,0.05340466,0.01678586
BTN,Bhutan,N,2005,,X,1.759019,0.07646304,0.01354178,0.003680268,0.656639,1.9,0.1018226,0.01911847,0.005479984
BTN,Bhutan,N,2008,,X,1.759019,0.07541709,0.01504939,0.004682619,0.70095,1.9,0.1009332,0.02049842,0.006545728
BTN,Bhutan,N,2010,,X,1.759019,0.03334969,0.00601083,0.001735885,0.727641,1.9,0.04335692,0.008419002,0.002515949
BTN,Bhutan,N,2011,,X,1.759019,0.02090926,0.00367334,0.001009892,0.74051,1.9,0.02897185,0.005269339,0.001501422
BTN,Bhutan,N,2012,2012,X,1.759019,0.01754094,0.002863401,0.0007492931,0.752967,1.9,0.02170129,0.004124066,0.001140879
BTN,Bhutan,N,2013,,X,1.759019,0.002877008,0.0004246344,0.000135258,0.764961,1.9,0.005283933,0.0006966135,0.0001943731
BTN,Bhutan,N,2015,,X,1.759019,0.004987753,0.0008593625,0.0002574897,0.787386,1.9,0.008539544,0.001296413,0.0003726456
BWA,Botswana,N,1981,1985.57,X,2.066081,0.5753735,0.2784266,0.1667274,1.038397,1.9,0.5411605,0.2539412,0.1485303
BWA,Botswana,N,1984,1985.57,X,2.066081,0.4861681,0.2168122,0.1218031,1.151292,1.9,0.4516473,0.1947567,0.1064392
