cc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MLI,5627680.8,3777843,3943293.2,3345793.5,3204571.2,3255811.2,3059405.1,3120863.2,3335154.2,3419264.6,3384337.5,3695649.8,3801425,3298895.6,2622479.8,2822828.8,1610552.5,1086561.2,892296.9,624141.3,643034.5,662276.4,682025.5
MMR,39472004.8,38146366.8,36316656,33951862.5,31233028.1,27824393.7,24545115,20647322.8,16164789.3,12634513.7,9905612.5,8189586,6929133.3,8036177.6,6791659.2,5643910.8,3781277.5,2289615.9,1653348.5,1287786.9,1189333.6,2862934.2,2746946.7
MNE,87229.9,85207,80863.8,71899.4,58117.5,47801.6,43754.4,26183.7,12606.3,23884.8,13416,21750,37121.8,33168.3,16893.2,100919.6,81078.1,77807.3,81329.7,81081,80577,81203.9,80449.1
MNG,734987,637912,455130.9,371584.5,290401.1,256995.9,191082.6,143800.5,156162.6,146261.2,134564.8,93079.4,63900.5,55371.7,46199.2,44357.3,75094.4,72593.6,65562,53505.4,54232.1,54941.9,56293.2
MOZ,12580052.1,12601483.1,12927156,12608382,12228426,12367585.3,11947811.5,12034771.2,12364796.4,12773532,13254278.4,13534395.3,13737195,14060244.6,14381542,14655355.2,16227844.1,16757051.2,16522294.8,17180723,17673023,18263208,18722290.9
MRT,741182.4,805482.6,865634.9,820863.2,855387.3,794081,584933.6,652992.3,689917.5,710315.6,716585,681881.2,625822,613603,554329.6,569724.6,620634.3,601562,611084,592540.2,608046.4,623806.8,639694.3
MWI,1476604.8,2143876.8,2079450.3,1870289.2,1696048.8,1978168,2262955,2437400.1,2551654.8,2736804,2840966.4,2394056.4,2327626.2,1854966.3,1464520.2,1432281,1505171.2,1692830.7,2033406.5,2593048.5,2795135.2,2918174.1,3167574.2
MYS,1270592.8,1265526.6,1212319.8,1068990.4,911298.8,764668,627432,681600,761819.1,806066,534128,294940.5,177937,106941.6,93706.8,89099.6,84207.6,60085.6,41655.9,35699.4,32869,36617.9,33711
NAM,334224,339048.2,305639.1,305203.2,229944,215595.2,199637.6,204464,235872,248533.1,210129.1,197224,194704,189298.9,191813.9,209363.8,235752.9,251626.2,255435.6,276089,282540.8,291606,294630
NER,5431275.2,5461030.8,5509788.4,5408336.1,5548782.9,5864341.4,5063495.6,4730430,3053214,5348294.8,3449250,2680754.4,2812295.2,3427236,3617246.1,3748594.8,3504073.5,3870155.4,3186153.6,2862359.5,2973262.5,3088241,3259486
NGA,46493760,50335755.6,44466969.6,38192986.2,34904573.2,35860414,32858265.6,29034491.1,29377803.8,27885001.2,25753067.2,24447837.7,24074038.3,23626487.5,23116260,24532042.8,26224449,28422925.4,30184337.5,32153920,33252478.9,34487005.7,33372291.6
NIC,807838.9,867510,832013.9,863716.8,909072,930567,510665,514191.3,578419.6,605128.8,556586,526785.6,435485.7,395409,357833,343633,319133.1,285406.2,331219.5,342318.9,347801.4,351270.2,350758.4
NPL,4123811.7,4223517.6,4554536.4,4323835,3887462.4,3043468,2402136.6,2152251.5,1299971.6,1329077.4,972828,1019297.1,832265,792003.8,824228.4,831024,782541,679876,571743.2,494043,484160,489248,481962
PER,6906347.5,7584176.8,6847097.4,6346592.8,6861886.8,7396719,6459245,5726503.2,5035263.6,4582158,3985916.1,3717024,3579873.3,3276568,3106591.9,3103185.3,3015352.6,2997778,2438144.8,2163763.8,2181936,2253593.4,2234008
PHL,13180648,12627061,12210935.2,11566357.6,12667828.8,13355215.2,14014316.4,12876050.6,13476672,13501154.4,14996320,16016231.8,15963681.6,14535795.6,13944208.6,12704328.4,11458188,10250488.6,9458265.6,8064707.6,8052273.6,8481288.6,8512735.4
PNG,3235660.4,3219242.7,3179504.9,2972439.5,2917707,2790598.5,2670169,2510970.3,2439926.5,2177503.2,1978156.4,1961903.1,1775265.9,1573821.6,1340064,1260072,1191729,1160915.7,1140774.5,1098277.3,1231828.5,1264814.2,1272530.4
PRY,571663.4,438507.7,729391.6,533881.6,415821.6,439261,669485.4,720692.8,530321.9,571742.4,625347,673458,431926,283210.8,317165.2,320663.7,332887.5,244514.9,282736,221329.4,223992.2,233772.3,229977.6
PSE,115383.4,138647.1,174018.5,137295.9,85171.5,70804.8,39517.2,159084.8,129812.4,66890.2,78493.1,57670.2,51969.5,84326.5,96184.4,115176.1,98215.5,124009.2,130341.6,133824.6,137307.6,151242,147280
ROU,2781489.6,2253360,1931982,1449324.3,991072.8,696507.5,650066.4,374440.8,0,0,0,0,0,0,1431992.4,1043542.5,0,637599.6,0,420832.8,418780.8,416772,414763.2
RUS,40566608.7,32327185.5,26948192,26401221,23752855.6,20278861.6,15880077.6,11208645,8470513.6,7955970.8,6370353,5630275.2,4804603.5,4135593.6,4327206.1,5769908.8,5528217.6,4924458,4376536,3885165,3853491.6,3935626.4,3786842.4
RWA,1707130.2,1722437.2,1527944,1669164,1816508,1748044.8,1686539.2,1544748,1441638,1577363.7,1397690.8,1219856,1268786.4,1271368.5,1198032,1204764.4,1449228.8,1698271.9,1213944.2,1022240.6,1029946.9,1078347.4,1079851
SDN,8444775,8162734.5,7907076,7609206,7537444.2,7384876.8,6997789.8,6679352.7,7527150.4,8570655,8837202,8306445.4,10519877,9783675,8370288.4,8166111.1,7302325.5,8410597.5,10863428.7,14893004.5,15404805.8,15964294,16430986.6
SEN,2328670.4,2393887,2680346.6,2427652.5,2223865,2258075.7,2209698.4,2341355.6,2551856.4,2560404,2769190.4,3280026.6,3137987,3292784,2368088.8,1848161.8,1390162.4,841688.1,534476,463808.8,473000,489265.1,478684.8
SLB,90846,113632,130282.5,127171.5,124021.8,123328,120307.2,107030.3,103525,105367.2,78883.2,61020,54372,41623.2,41745,41090,39120,35743.5,33828.9,33401,34084.8,37092,44284.8
SLE,3428933.2,3818686.2,3742535,3910687.8,3966304,3730319.4,3460268.4,3147649.5,3019490.2,3025014,2932386,2734062,1903275.8,1466079.6,1374741.8,2697953.6,2512421.2,2474489.2,2515176,2089783.3,2126822.1,2162777.4,2083948.8
SLV,948855.6,1033550,1066230,1163747.9,933755.6,958008.1,757000,572504.4,831571,827267.6,773707.5,715795.2,597838.1,535085.6,552728,458323.8,480316.5,361632.6,340477.2,250104.8,250128,256612.2,251366.4
SOM,8155856.1,8409284.1,8656376.4,8903468.7,9155991.6,9422091,9700861.8,9991398.9,10290081.9,10596910.8,10909170.3,11227765.5,11551791.3,11929108.8,12125214.9,12067448.4,12211822.2,12620626.2,12924436.6,13129549.2,13661871.5,14065813.1,14529926.4
SRB,304532.7,374637.4,290878.3,481895.4,729530.4,809998.5,506349.6,391891.5,358540,406112,493038,530646,1495819,583368,1758143.6,285002.2,1470294,1244805.6,228688.2,378138.9,371660.8,370379.8,349136.8
SSD,2163082.8,2251207.2,2336103.6,2421645.6,2513966.4,2617585.2,2733470.4,2859039.6,2990096.4,3094720,3287882.2,4696825.5,6072704.7,5842217.9,6339743.8,6967604.8,7937919,8342918.4,8443858.4,9325215.3,10007433,10160815.8,10255981
STP,4503.6,5310.8,6523.2,6674.8,8177.6,8252.4,7743.3,9682.2,10470.9,15219,15907.5,15662.5,18373.2,18026.8,15432.8,14820,15560,15973.2,16093,16933.5,17069.4,17460.9,18046.5
SUR,97438,98468,99498,96137.4,95444.8,96606.4,94903.2,96033,99395,100553,99045.8,95314.5,96391.5,95187.9,98366,104129.9,107887,108996.8,109964.8,110932.8,122131.4,130067.3,130959.7
SWZ,490856.4,497335.5,528176.6,549261.1,556150.5,567488.6,572718.9,612212.5,645237.6,664194.4,611697.8,600985,568963.2,535853.6,556073,552661,602469.8,616380.3,596739,591611.5,603516.6,614752.6,622485.4
SYR,4923.3,3353.2,3417.6,1741.6,1780.7,0,1891.5,1963.3,0,0,0,0,2042,7924,44166.9,170488.5,193525.5,184516.9,1484660.8,3792295,3557712,4309140,4502740
TCD,4737989.7,4670223.3,4721549,4431451.4,3087780,2686882.3,3046058.3,3116130,3377752.2,3565930,3239207.5,3612672,3455760,3150846.6,2925692,2375926.4,2628818.8,2647730,2186267.2,1832842.6,1893945.5,1958268.8,2022286
TGO,2387074.2,2563668,2616573.3,2442123,2562151.5,3009678,2986720.8,3280958.7,3657169.6,3822657.8,3810107.7,3776974.5,3825264.3,3822236.1,3712091.5,3857581.7,3193759.4,2785445.6,2279832.3,1987803.6,2026412.8,2093881.5,2035947.9
