cc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ERI,1433072.88356564,1429667.40636232,1446002.89769041,1449446.29510987,1384178.07009895,1385457.00212986,1341331.91378096,1318314.76576302,1367691.38138562,1381744.24570298,1301546.85052671,1305177.03093211,1299649.58060863,1269162.76971092,1245516.86227612,1295880.19974999,1329718.68532598,1373580.3340332,1366070.09786961,1419294.80025517,1454139.13941944,1489563.32249582,1508682.16686568,1522495.61095809
ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EST,386196.696847104,352219.994615495,313645.347661443,309632.553735735,263767.69815825,241993.776832496,198541.864006412,171538.954909877,153108.723043998,147417.436149859,140356.888277787,132765.074493765,126880.798233494,115061.917260058,122539.72599869,123295.464463311,114196.031472208,116887.517308035,107689.219609695,114075.668633386,113988.27136177,114698.343414936,112506.27871211,111041.924350896
ETH,36868151.7,30581678,35516892.4,39776971.8,30849561.6,28995133.3,30058001.2,32805000,39903844.5,37062002.4,32950017.1,35928753,38539903.6,37176726.6,36405147.4,37801930.5,36230181.4,34216308,31002340.5,30617530,30422378.2,30743625.6,30909417,28820876.7
FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJI,161669.2,164102.4,157814.4,162664.7,144213.4,144178.8,140097.6,146292,150391.2,161624.4,157294,166377.3,171566.2,157165.2,168694.4,198470,231773.8,202672.2,208848,253827,374220,409665,300268.8,260274.6
FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,2557.3,2546.6,2546.6,2439.6,2557.3,2416.8,2968,4504.5,8122.4,6260.8,6427.2,6870.1,7745.6,9620,9828,8850.4,8872.5,8617.8,8109,8014.3,8780.4,9003.4,9003.4,9024.3
GAB,206561.8,217568.8,235378.6,248203.2,270543,284809,309663.5,295119.8,338688,355964.1,309468,295108.3,291134.9,260557.8,229247.2,227547,197702.1,171922.5,176814,177366.9,181329.3,186270.6,191349,195881.4
GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEO,1342464.6,1395993.6,833887.5,871841.6,827001.6,930603.8,979687.3,1082820.6,1012956,981523.2,1135022.4,1151472,941142.8,760460,657482.4,577636.2,573050,582496.8,559873.1,572326.4,563795.4,546652.8,525585.6,525482.1
GHA,10702428.9,10961212.4,10588145,10397299.5,10098944.4,9657278.6,9298937,9220740,8618300.1,8234583.5,7434489.6,6001645.8,4740018.6,4131052.8,3699186.4,3318114.6,3088666.5,2739230,2651670,2552225.6,2550922,2610316.8,2673503,2717728
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,3433358.4,3590194.2,3696830.2,3772412,3724268.4,3676084.2,3755768.1,3859073.4,3399693.2,3564043.2,3993780,3476025,2635241.6,2601368,2560721.4,2623747,2525065.2,2501433.9,2542529.6,2513464.8,2542559.9,2600473,2657610,2711244.8
GMB,535796.8,619612.5,742460.8,609343.5,545919,566048,563598,560349.9,518323.2,655672,417924,487238.3,420226.4,365107.6,334516.5,264324.9,280225,309267.2,307288,316376,323771.6,336772,345362.1,354681.6
GNB,525417.821148145,517983.587034903,517744.258331872,512230.753301267,484229.17715304,482065.033998827,466134.282875674,459013.520658157,478514.277305008,486543.206907243,461322.756132019,465780.495731527,466745.453417438,458983.396829447,452962.938113902,473489.546886163,487071.526511936,504287.433741526,502138.719475201,522011.816365037,535397.326737644,549167.539958854,556823.000836495,562507.425451343
GNQ,259752.379426133,261649.16787872,266474.247333097,269105.331408841,260049.002545151,264245.641373723,261272.719064072,263472.491110837,280775.764333593,291348.995440503,281952.404294055,289909.713686373,296061.37124586,295801.428158811,296551.633875266,314144.673964563,327934.65862126,343327.339360835,345993.852852865,363510.532645392,376384.320696563,389351.205088016,397958.423307762,405351.666195114
GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRD,20981.6157159263,21148.533580778,21092.0265040066,20831.5071904157,19056.2929240611,17695.671686488,14657.4972059026,14509.3855047087,14693.7561391143,14123.8700066997,12883.8108320859,12104.9711523224,11585.1177522548,11056.2269804689,10721.5008865348,10835.1430658103,11664.0116243626,11154.6592913023,10810.5101639831,11146.4440664343,11148.2453000876,11304.0402700185,11391.6204743317,11320.7612792475
GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,1177815,1363027.5,1491939.8,1575000,1728874.7,1931660,2045721.9,2104473.6,2218550.4,2399361.6,2408262.6,2580197.4,2756415.5,2957191.2,3111549.6,3317033.2,3570104.6,3810724.2,3964625.5,4095674,4157143.1,4250852,4276425.4,4341736
GUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,137949.6,132577.6,131575.2,132201.6,130848,132401.3,125400,107343.9,104440,100426,98230.5,93924.6,88929.3,87170,86332,86784,81966.6,77622.3,76948.8,74292.8,50228.5,44758.5,31720.3,26579.3
HKG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HND,3147177.6,3022558.8,3421205.5,3725909.8,3696372.4,3627516,3273228,3155655.2,3134241.3,2878940.5,3086237,3139140.9,3604419,3380949,3350062.7,3437439.6,3308930.3,3187160,3251690.1,3222839.2,3261696.4,3340656.5,3344676.3,3381562.8
HRV,1221484.9811707,1115363.3162824,996725.454065108,989786.801417437,847769.493200709,781304.391572764,642687.367191125,556735.804551253,497260.569169761,479355.123840104,456054.513863559,430862.126630253,411476.822648547,372622.923571938,395883.272611852,397170.788947973,366418.797100086,373772.374048366,343171.843668234,362172.751642805,360904.403788497,361958.611871498,354051.081268039,348632.015398042
HTI,5192415,5308204.4,5355777,5471481.5,5528849.7,5487993.6,5470974,5437933,5591050.5,5397473.4,5524000,5495546.5,2454955.4,2447347.2,2463509,2387704.8,2290886.4,2195101.9,2219266.1,2520680.6,2568934.8,2618094.6,2646557.1,2675738.8
HUN,2819511.74176732,2579404.18470571,2305962.32467213,2287176.5185636,1956019.25723658,1800141.02279453,1478916.28477665,1279394.7053695,1141574.06860641,1099723.03117337,1046038.1606108,988795.114626999,945142.247973274,857259.189760404,912446.791313459,917355.759930823,848251.25281679,867376.76011558,798317.405354506,844719.828469305,843600.891362763,847812.658688504,831049.859226111,819677.199533572
IDN-R,33138298.9,27112161.5,15453469.6,12247356.2,16313115,12892996.4,20260013.5,17455443.6,19704938,16800672,16216378.5,14542881.4,12805584,11999820.8,10005800.4,9087735.8,9743597.3,7840153.5,6865459.2,4816621.6,4662343,4754254.5,4691380.2,4534466.1
IDN-U,5100047.4,2899995.2,767588.4,792390.6,1039888,1041560,2008772.7,1738806.4,2214471.2,2304901.2,2082111.6,2274964.5,2169506,1951065.6,1987462.4,2463666.5,2241470.7,1904694,1535071.2,679050,647593.8,692846,707185.6,655852
IMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND-R,177095482.5,171999895.3,170163635.2,165015865.5,159329947,149297431.6,141171930,130730044.2,122002119.9,114882363.2,95481502.8,60686503.2,50774623.2,52684912.8,52054051,47519190,43796610,27654648.7,17776112.8,15606216.6,15121663.2,15889860.8,14934315,14238628.3
IND-U,36331345,36405216.3,37182844,37230396,37072513.7,34919607.6,32984640,30058474.8,28641160.8,27632606.4,23872711.5,15291214.4,12985440,13748280,13659465.2,12400094.1,15246902.4,13903856.7,12901840,9672474,9806909.7,10238013,10075469.5,10053836.6
IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
