cc,type,2020,2021,2022,2023
ERI,fpl_2019eq_gr_2020,1532541.31759616,,,
ERI,fpl_2019eq_gr_2021,,1444383.5614962,,
ERI,fpl_2019eq_gr_2022,,,1455019.88479136,
ERI,fpl_2019eq_gr_2023,,,,1484186.43321755
EST,fpl_2019eq_fo_2020,118308.681071158,,,
EST,fpl_2019eq_fo_2021,,124756.198728089,,
EST,fpl_2019eq_fo_2022,,,134093.842377765,
EST,fpl_2019eq_fo_2023,,,,141055.651072883
EST,fpl_2019eq_gr_2020,117216.824901083,,,
EST,fpl_2019eq_gr_2021,,96555.5684323161,,
EST,fpl_2019eq_gr_2022,,,84279.3182798832,
EST,fpl_2019eq_gr_2023,,,,79428.6203692473
ETH,fpl_2019eq_fo_2020,32982007.5,,,
ETH,fpl_2019eq_fo_2021,,36398421.6,,
ETH,fpl_2019eq_fo_2022,,,38902417.5,
ETH,fpl_2019eq_fo_2023,,,,37321043.1
ETH,fpl_2019eq_gr_2020,27321505.7,,,
ETH,fpl_2019eq_gr_2021,,24142516.8,,
ETH,fpl_2019eq_gr_2022,,,22821964.5,
ETH,fpl_2019eq_gr_2023,,,,21600564.9
FJI,fpl_2019eq_fo_2020,256502.4,,,
FJI,fpl_2019eq_fo_2021,,302622,,
FJI,fpl_2019eq_fo_2022,,,317865.6,
FJI,fpl_2019eq_fo_2023,,,,357960
FJI,fpl_2019eq_gr_2020,374220,,,
FJI,fpl_2019eq_gr_2021,,409665,,
FJI,fpl_2019eq_gr_2022,,,300268.8,
FJI,fpl_2019eq_gr_2023,,,,259803.6
FSM,fpl_2019eq_fo_2020,8089.2,,,
FSM,fpl_2019eq_fo_2021,,7924.3,,
FSM,fpl_2019eq_fo_2022,,,8164.1,
FSM,fpl_2019eq_fo_2023,,,,8491.5
FSM,fpl_2019eq_gr_2020,8780.4,,,
FSM,fpl_2019eq_gr_2021,,9003.4,,
FSM,fpl_2019eq_gr_2022,,,9003.4,
FSM,fpl_2019eq_gr_2023,,,,9024.3
GAB,fpl_2019eq_fo_2020,182619.9,,,
GAB,fpl_2019eq_fo_2021,,187587,,
GAB,fpl_2019eq_fo_2022,,,200972.4,
GAB,fpl_2019eq_fo_2023,,,,218026.5
GAB,fpl_2019eq_gr_2020,203054.4,,,
GAB,fpl_2019eq_gr_2021,,227737.2,,
GAB,fpl_2019eq_gr_2022,,,251103.6,
GAB,fpl_2019eq_gr_2023,,,,243139.5
GEO,fpl_2019eq_fo_2020,640215.8,,,
GEO,fpl_2019eq_fo_2021,,653961.6,,
GEO,fpl_2019eq_fo_2022,,,738378,
GEO,fpl_2019eq_fo_2023,,,,804246.3
GEO,fpl_2019eq_gr_2020,454623.4,,,
GEO,fpl_2019eq_gr_2021,,319204.8,,
GEO,fpl_2019eq_gr_2022,,,337987.2,
GEO,fpl_2019eq_gr_2023,,,,288416.7
GHA,fpl_2019eq_fo_2020,2633903.8,,,
GHA,fpl_2019eq_fo_2021,,2695026.6,,
GHA,fpl_2019eq_fo_2022,,,2878418.2,
GHA,fpl_2019eq_fo_2023,,,,3077043
GHA,fpl_2019eq_gr_2020,2707665.4,,,
GHA,fpl_2019eq_gr_2021,,2836209.6,,
GHA,fpl_2019eq_gr_2022,,,2833593,
GHA,fpl_2019eq_gr_2023,,,,2952916
GIN,fpl_2019eq_fo_2020,2710322.1,,,
GIN,fpl_2019eq_fo_2021,,3061870,,
GIN,fpl_2019eq_fo_2022,,,3424785,
GIN,fpl_2019eq_fo_2023,,,,4157440
GIN,fpl_2019eq_gr_2020,2475180,,,
GIN,fpl_2019eq_gr_2021,,2473483,,
GIN,fpl_2019eq_gr_2022,,,2300077.5,
GIN,fpl_2019eq_gr_2023,,,,2182656
GMB,fpl_2019eq_fo_2020,329962.7,,,
GMB,fpl_2019eq_fo_2021,,358248,,
GMB,fpl_2019eq_fo_2022,,,391960.5,
GMB,fpl_2019eq_fo_2023,,,,429062.4
GMB,fpl_2019eq_gr_2020,356332.2,,,
GMB,fpl_2019eq_gr_2021,,357540,,
GMB,fpl_2019eq_gr_2022,,,359924.1,
GMB,fpl_2019eq_gr_2023,,,,352684.8
GNB,fpl_2019eq_fo_2020,556817.383415551,,,
GNB,fpl_2019eq_fo_2021,,571197.994229598,,
GNB,fpl_2019eq_fo_2022,,,605425.072293703,
GNB,fpl_2019eq_fo_2023,,,,628784.797728431
GNB,fpl_2019eq_gr_2020,564264.108098735,,,
GNB,fpl_2019eq_gr_2021,,532510.807190678,,
GNB,fpl_2019eq_gr_2022,,,537017.376038509,
GNB,fpl_2019eq_gr_2023,,,,548353.560713154
GNQ,fpl_2019eq_fo_2020,391442.620541133,,,
GNQ,fpl_2019eq_fo_2021,,404970.452940125,,
GNQ,fpl_2019eq_fo_2022,,,432694.064072503,
GNQ,fpl_2019eq_fo_2023,,,,453112.179333221
GNQ,fpl_2019eq_gr_2020,396677.66799341,,,
GNQ,fpl_2019eq_gr_2021,,377541.841816828,,
GNQ,fpl_2019eq_gr_2022,,,383803.449096225,
GNQ,fpl_2019eq_gr_2023,,,,395152.169450477
GRD,fpl_2019eq_fo_2020,11555.375159533,,,
GRD,fpl_2019eq_fo_2021,,11992.6748232627,,
GRD,fpl_2019eq_fo_2022,,,13112.3992298776,
GRD,fpl_2019eq_fo_2023,,,,13583.1338880328
GRD,fpl_2019eq_gr_2020,12625.2688349912,,,
GRD,fpl_2019eq_gr_2021,,11410.4296493795,,
GRD,fpl_2019eq_gr_2022,,,10820.8646593952,
GRD,fpl_2019eq_gr_2023,,,,10633.2238304244
GTM,fpl_2019eq_fo_2020,4361328.5,,,
GTM,fpl_2019eq_fo_2021,,4491672.8,,
GTM,fpl_2019eq_fo_2022,,,4765000.5,
GTM,fpl_2019eq_fo_2023,,,,5028169
GTM,fpl_2019eq_gr_2020,4395359.4,,,
GTM,fpl_2019eq_gr_2021,,4022802,,
GTM,fpl_2019eq_gr_2022,,,3917889.3,
GTM,fpl_2019eq_gr_2023,,,,3893569
GUY,fpl_2019eq_fo_2020,74670.4,,,
GUY,fpl_2019eq_fo_2021,,75048,,
GUY,fpl_2019eq_fo_2022,,,75425.6,
GUY,fpl_2019eq_fo_2023,,,,75803.2
GUY,fpl_2019eq_gr_2020,50228.5,,,
GUY,fpl_2019eq_gr_2021,,44758.5,,
GUY,fpl_2019eq_gr_2022,,,31720.3,
GUY,fpl_2019eq_gr_2023,,,,26579.3
HND,fpl_2019eq_fo_2020,3305431.9,,,
HND,fpl_2019eq_fo_2021,,3312036.4,,
HND,fpl_2019eq_fo_2022,,,3492927.9,
HND,fpl_2019eq_fo_2023,,,,3686482.8
HND,fpl_2019eq_gr_2020,3546463.1,,,
HND,fpl_2019eq_gr_2021,,3166962.1,,
HND,fpl_2019eq_gr_2022,,,3083232.6,
HND,fpl_2019eq_gr_2023,,,,3086806.8
HRV,fpl_2019eq_fo_2020,374583.485606837,,,
HRV,fpl_2019eq_fo_2021,,393698.628677,,
HRV,fpl_2019eq_fo_2022,,,421985.958727862,
HRV,fpl_2019eq_fo_2023,,,,442864.406432861
HRV,fpl_2019eq_gr_2020,371126.500994505,,,
HRV,fpl_2019eq_gr_2021,,304704.658129121,,
HRV,fpl_2019eq_gr_2022,,,265222.386760127,
HRV,fpl_2019eq_gr_2023,,,,249377.522602284
HTI,fpl_2019eq_fo_2020,2291458,,,
HTI,fpl_2019eq_fo_2021,,2444474.8,,
HTI,fpl_2019eq_fo_2022,,,2533814,
HTI,fpl_2019eq_fo_2023,,,,2618183.4
HTI,fpl_2019eq_gr_2020,2380159.6,,,
HTI,fpl_2019eq_gr_2021,,2406531.4,,
HTI,fpl_2019eq_gr_2022,,,2537300.9,
HTI,fpl_2019eq_gr_2023,,,,2674564.2
HUN,fpl_2019eq_fo_2020,875575.246604319,,,
HUN,fpl_2019eq_fo_2021,,922157.037167456,,
HUN,fpl_2019eq_fo_2022,,,990510.663998479,
HUN,fpl_2019eq_fo_2023,,,,1041229.26296236
HUN,fpl_2019eq_gr_2020,867494.671056398,,,
HUN,fpl_2019eq_gr_2021,,713707.197039795,,
HUN,fpl_2019eq_gr_2022,,,622545.838276229,
HUN,fpl_2019eq_gr_2023,,,,586317.550669812
IDN-R,fpl_2019eq_fo_2020,5783666,,,
IDN-R,fpl_2019eq_fo_2021,,6092489.1,,
IDN-R,fpl_2019eq_fo_2022,,,6698637.4,
IDN-R,fpl_2019eq_fo_2023,,,,6830691.9
IDN-R,fpl_2019eq_gr_2020,5830879.6,,,
IDN-R,fpl_2019eq_gr_2021,,5435110.7,,
IDN-R,fpl_2019eq_gr_2022,,,4212906.1,
IDN-R,fpl_2019eq_gr_2023,,,,3386353.2
IDN-U,fpl_2019eq_fo_2020,1017647.4,,,
IDN-U,fpl_2019eq_fo_2021,,1133748,,
IDN-U,fpl_2019eq_fo_2022,,,1350081.6,
IDN-U,fpl_2019eq_fo_2023,,,,1442874.4
IDN-U,fpl_2019eq_gr_2020,1033066.3,,,
IDN-U,fpl_2019eq_gr_2021,,929043.5,,
IDN-U,fpl_2019eq_gr_2022,,,578606.4,
IDN-U,fpl_2019eq_gr_2023,,,,442700.1
IND-R,fpl_2019eq_fo_2020,18272009.7,,,
IND-R,fpl_2019eq_fo_2021,,17334393.6,,
IND-R,fpl_2019eq_fo_2022,,,17921178,
IND-R,fpl_2019eq_fo_2023,,,,17412844.8
IND-R,fpl_2019eq_gr_2020,21872405.7,,,
IND-R,fpl_2019eq_gr_2021,,12549378.7,,
